Number Plate,Fleet Number
KBW,548P
KBU,282P
KBQ,844U
KBX,535W
KBU,838W
KBK,364J
KCC,768D
KBK,221U
KAZ,644L
KBX,956R
KBT,973R
KBP,267A
KAY,618P
KAX,693P
KBP,326Y
KCB,399Q
KAV,625X
KBA,047M
KBS,980D
KBR,143P
KBW,437P
KBX,449E
KBW,905K
KCF,586U
KAW,624G
KBW,510N
KCE,322M
KBT,411F
KBP,189K
KBA,383A
KBT,980J
KBR,061B
KBL,038D
KBE,347V
KCA,590D
KAT,575Q
KBY,872L
KBZ,980G
KBA,184N
KBH,980C
KBC,036Y
KBV,686E
KBL,980K
KBR,826S
KAY,764F
KBP,935Q
KCC,074F
KAY,098A
KBM,498V
KBQ,872U
KBU,980W
KBX,192T
KBT,848R
KBP,861B
KBC,377G
KBQ,875R
KBA,022N
KBP,059B
KBW,488G
KAR,834Z